name_norm,trailer_link,video_id,sentiment_scores,favorability,rating,genre,year,votes
red eye,https://www.youtube.com/watch?v=1YdzfduyXIA,1YdzfduyXIA,"{'positive': 46, 'neutral': 47, 'negative': 17}",0.7301587301587301,PG-13,Thriller,2005,115000.0
house of wax,https://www.youtube.com/watch?v=ezUtqfB24Cg,ezUtqfB24Cg,"{'positive': 104, 'neutral': 83, 'negative': 64}",0.6190476190476191,R,Horror,2005,118000.0
four brothers,https://www.youtube.com/watch?v=YP6s4xoufzg,YP6s4xoufzg,"{'positive': 64, 'neutral': 167, 'negative': 19}",0.7710843373493976,R,Action,2005,138000.0
the dukes of hazzard,https://www.youtube.com/watch?v=lJzWkSmeMaY,lJzWkSmeMaY,"{'positive': 93, 'neutral': 77, 'negative': 33}",0.7380952380952381,PG-13,Comedy,2005,76000.0
the interpreter,https://www.youtube.com/watch?v=12AsLh55gQU,12AsLh55gQU,"{'positive': 55, 'neutral': 46, 'negative': 29}",0.6547619047619048,PG-13,Crime,2005,101000.0
walk the line,https://www.youtube.com/watch?v=pbQ22zWPYbw,pbQ22zWPYbw,"{'positive': 45, 'neutral': 31, 'negative': 13}",0.7758620689655172,PG-13,Biography,2005,239000.0
lords of dogtown,https://www.youtube.com/watch?v=AUjR4G4yNpY,AUjR4G4yNpY,"{'positive': 53, 'neutral': 46, 'negative': 11}",0.828125,PG-13,Biography,2005,53000.0
munich,https://www.youtube.com/watch?v=feIjYUEWVxk,feIjYUEWVxk,"{'positive': 62, 'neutral': 81, 'negative': 49}",0.5585585585585585,R,Action,2005,216000.0
kiss kiss bang bang,https://www.youtube.com/watch?v=__PnD1HWXSo,__PnD1HWXSo,"{'positive': 106, 'neutral': 116, 'negative': 28}",0.7910447761194029,R,Comedy,2005,219000.0
the constant gardener,https://www.youtube.com/watch?v=1l1lzzfpWFU,1l1lzzfpWFU,"{'positive': 67, 'neutral': 56, 'negative': 34}",0.6633663366336634,R,Drama,2005,135000.0
the pacifier,https://www.youtube.com/watch?v=3H-20BCGsek,3H-20BCGsek,"{'positive': 19, 'neutral': 20, 'negative': 5}",0.7916666666666666,PG,Action,2005,90000.0
a history of violence,https://www.youtube.com/watch?v=Wi-cPZWWtkY,Wi-cPZWWtkY,"{'positive': 74, 'neutral': 61, 'negative': 40}",0.6491228070175439,R,Drama,2005,228000.0
the devils rejects,https://www.youtube.com/watch?v=f5sIuVd57bE,f5sIuVd57bE,"{'positive': 1, 'neutral': 0, 'negative': 1}",0.5,R,Horror,2005,95000.0
hitch,https://www.youtube.com/watch?v=dMaq_pfxs-0,dMaq_pfxs-0,"{'positive': 74, 'neutral': 147, 'negative': 29}",0.7184466019417476,PG-13,Comedy,2005,301000.0
mirrormask,https://www.youtube.com/watch?v=OAJOWr_HV1s,OAJOWr_HV1s,"{'positive': 4, 'neutral': 6, 'negative': 1}",0.8,PG,Adventure,2005,22000.0
rent,https://www.youtube.com/watch?v=KGciEYSshrQ,KGciEYSshrQ,"{'positive': 34, 'neutral': 41, 'negative': 13}",0.723404255319149,PG-13,Drama,2005,49000.0
robots,https://www.youtube.com/watch?v=5-QlB-CCozc,5-QlB-CCozc,"{'positive': 16, 'neutral': 12, 'negative': 6}",0.7272727272727273,PG,Animation,2005,137000.0
jarhead,https://www.youtube.com/watch?v=-aBP-c28_1M,-aBP-c28_1M,"{'positive': 92, 'neutral': 95, 'negative': 63}",0.5935483870967742,R,Action,2005,179000.0
into the blue,https://www.youtube.com/watch?v=5uMDUHdN24o,5uMDUHdN24o,"{'positive': 32, 'neutral': 31, 'negative': 11}",0.7441860465116279,PG-13,Action,2005,74000.0
saw ii,https://www.youtube.com/watch?v=Lq2AzZB6DUE,Lq2AzZB6DUE,"{'positive': 76, 'neutral': 88, 'negative': 31}",0.7102803738317757,R,Horror,2005,239000.0
revolver,https://www.youtube.com/watch?v=DNXtExBM-KM,DNXtExBM-KM,"{'positive': 0, 'neutral': 1, 'negative': 0}",0.0,R,Action,2005,92000.0
coach carter,https://www.youtube.com/watch?v=d_GleoanbPE,d_GleoanbPE,"{'positive': 49, 'neutral': 42, 'negative': 15}",0.765625,PG-13,Biography,2005,133000.0
dark water,https://www.youtube.com/watch?v=RvAOuhyunhY,RvAOuhyunhY,"{'positive': 93, 'neutral': 79, 'negative': 78}",0.543859649122807,PG-13,Drama,2005,60000.0
lord of war,https://www.youtube.com/watch?v=AXgyoER0aRc,AXgyoER0aRc,"{'positive': 88, 'neutral': 98, 'negative': 64}",0.5789473684210527,R,Action,2005,300000.0
zathura a space adventure,https://www.youtube.com/watch?v=zNxm_obDpNU,zNxm_obDpNU,"{'positive': 114, 'neutral': 102, 'negative': 34}",0.7702702702702703,PG,Action,2005,97000.0
the quiet,https://www.youtube.com/watch?v=TxfF7YQD6nA,TxfF7YQD6nA,"{'positive': 129, 'neutral': 56, 'negative': 65}",0.6649484536082474,R,Crime,2005,16000.0
the amityville horror,https://www.youtube.com/watch?v=j_Lm2PXb3tk,j_Lm2PXb3tk,"{'positive': 58, 'neutral': 65, 'negative': 40}",0.5918367346938775,R,Horror,2005,107000.0
be cool,https://www.youtube.com/watch?v=VwIpQflIS4A,VwIpQflIS4A,"{'positive': 22, 'neutral': 14, 'negative': 3}",0.88,PG-13,Comedy,2005,68000.0
just friends,https://www.youtube.com/watch?v=vIBBVzy5UoQ,vIBBVzy5UoQ,"{'positive': 128, 'neutral': 80, 'negative': 42}",0.7529411764705882,PG-13,Comedy,2005,109000.0
yours mine ours,https://www.youtube.com/watch?v=iT4qtGkSvE4,iT4qtGkSvE4,"{'positive': 2, 'neutral': 6, 'negative': 0}",1.0,PG,Comedy,2005,27000.0
cinderella man,https://www.youtube.com/watch?v=nyuri18gwdM,nyuri18gwdM,"{'positive': 29, 'neutral': 22, 'negative': 10}",0.7435897435897436,PG-13,Biography,2005,179000.0
the brothers grimm,https://www.youtube.com/watch?v=ohxNxVlk2GQ,ohxNxVlk2GQ,"{'positive': 25, 'neutral': 29, 'negative': 18}",0.5813953488372093,PG-13,Action,2005,118000.0
corpse bride,https://www.youtube.com/watch?v=AGACeWVdFqo,AGACeWVdFqo,"{'positive': 105, 'neutral': 99, 'negative': 46}",0.695364238410596,PG,Animation,2005,251000.0
